CATEGORY,SUBCATEGORY,AGE,REGION,TIMEALLOWED,QUESTION,ANSWER1,ANSWER2,ANSWER3,ANSWER4,CORRECTANSWER,HINT,IMAGEURL,VIDEOURL,SOUNDURL,FILETYPE,questionMasterId ,status,creditBy,questionActiveStatus,questionState,,,,
"TV, FILM AND BOOKS",NONE,JUNIOR,Deutschland,30,Wie heissen Harrys zwei beste Freunde in der Harry Potter-Reihe?,Hermine und Ron,Crabbe und Goyle,Frank und Hermine,Rose und Ron,A,(NULL),Harry_Potter_Lab.jpg,,,1,8933,0,,1,1,,,,
"TV, FILM AND BOOKS",NONE,"ADULT,TEEN,JUNIOR",Deutschland,30,Wie heisst die Sprache der Schlangen in der Harry-Potter-Reihe?,Slitherish,Schlangisch,Kauderwelsch,Parsel,D,(NULL),Harry_Potter_Lab.jpg,,,1,9000,0,,1,1,,,,
"TV, FILM AND BOOKS",NONE,ADULT,Deutschland,60,Der Kopf von welchem Tier ist in einer berüchtigten Szene aus "Der Pate" zu sehen?,Pferd,Hirsch,Löwe,Schwein,A,(NULL),QC00484.jpg,,,1,20429,0,,1,1,,,,
"TV, FILM AND BOOKS",NONE,ADULT,Deutschland,60,Für wie viele Oscars wurde Meryl Streep nominiert?,Dreizehn,Einundzwanzig,Dreißig,Sieben,B,(NULL),wIzxk1622915972458.jpg,,,1,20437,0,,1,1,,,,
"TV, FILM AND BOOKS",NONE,"TEEN,ADULT",Deutschland,30,Wie hieß der Thriller mit Beyoncé & Idris Elba?,Besessen,Cadillac-Rekorde,Traummädchen,Keine gute Tat,A,(NULL),zAFw61626176482041.jpg,,,1,35222,0,,1,1,,,,
"TV, FILM AND BOOKS",NONE,ADULT,Deutschland,30,Welches ist seit 2021 der erfolgreichste Film von Steven Spielberg?,Jäger des verlorenen Schatzes,Der Soldat James Ryan,Jurassic Park,E.T. der Außerirdische,C,(NULL),DBmeA1610896846999.jpg,,,1,39203,0,,1,1,,,,
"TV, FILM AND BOOKS",NONE,ADULT,Deutschland,15,Mit welchem ??Film würdest du dieses Bild am ehesten in Verbindung bringen?,American Pie,Life of Pi: Schiffbruch mit Tiger,Bugsy Malone,Ich glaub` mich tritt ein Pferd,A,(NULL),Feuoz1610898693522.jpg,,,4,39255,0,,1,1,,,,
"TV, FILM AND BOOKS",NONE,ADULT,Deutschland,30,Welches dieser Filmzitate wird nicht mit dem gezeigten unsterblichen Schauspieler in Verbindung gebracht?,"""Du bringst mich dazu, ein besserer Mann zu sein""","""Du kannst mit der Wahrheit nicht umgehen""","""Um den Käfer zu töten, den du im Arsch hast""","""Houston, wir haben ein Problem""",D,(NULL),lCtcK1610901955305.jpg,,,1,39263,0,,1,1,,,,
"TV, FILM AND BOOKS",NONE,ADULT,Deutschland,30,Welche weibliche Gruppe hat einen Cameo-Auftritt als Hochzeitssängerinnen im Film Brautalarm?,Die Supremes,Wilson Phillips,The Bangles,The Runaways,B,(NULL),Um6dI1610902936185.jpg,,,1,39267,0,,1,1,,,,
"TV, FILM AND BOOKS",NONE,ADULT,Deutschland,30,Dies ist der berühmte Anfangssatz von welchem ??dieser Bücher?,Stolz und Vorurteil,Sinn und Sinnlichkeit,Der große Gatsby,Sturmhöhe,A,(NULL),8qlEe1610906143977.jpg,,,1,39295,0,,1,1,,,,
"TV, FILM AND BOOKS",NONE,"ADULT,TEEN",Deutschland,30,Wie heißt die Wellness- und Lifestyle-Marke dieser Schauspielerinnen?,The Honest Company,Draper James,Goop,Fenty Beauty,C,(NULL),BN_6_02_2021_84.jpg,,,1,42696,0,,1,1,,,,
"TV, FILM AND BOOKS",NONE,ADULT,Deutschland,60,Wie viele Folgen von Game of Thrones gibt es?,70,73,75,56,B,(NULL),QC00238.jpg,,,1,48970,0,,1,1,,,,
"TV, FILM AND BOOKS",NONE,ADULT,Deutschland,45,In welchem ??anderen Harry-Potter-Film spielte Shirley Henderson neben Harry Potter und der Kammer des Schreckens mit?,Harry Potter und der Feuerkelch,Harry Potter und der Gefangene von Askaban,Harry Potter und der Halbblutprinz,Harry Potter und der Stein der Weisen,A,(NULL),PQ246,,,1,49715,0,,1,1,,,,
"TV, FILM AND BOOKS",NONE,"ADULT,TEEN",Deutschland,45,Wer spielt MJ in der Spiderman:Homecoming-Verfilmung von 2017?,Amandla Stenberg,Keke Palmer,Yara Shahidi,Zendaya,D,(NULL),PQ1075,,,1,50623,0,,1,1,,,,
"TV, FILM AND BOOKS",NONE,"ADULT,TEEN",Deutschland,45,Wer spricht Elsa in Disneys "Die Eiskönigin"?,Idina Menzel,Kristen Bell,Demi Lovato,Jennifer Lee,A,(NULL),PQ1085,,,1,50658,0,,1,1,,,,
"TV, FILM AND BOOKS",NONE,"TEEN,ADULT",Deutschland,30,"Welcher ""Black Panther""-Schauspieler starb im August 2020 nach einem vierjährigen Kampf gegen Darmkrebs, der seine Diagnose aber geheim gehalten hatte?",Chadwick Boseman,Michael B. Jordan,Daniel Kaluuya,Wald Whitaker,A,(NULL),FmVs41629911638865.jpg,,,1,51031,0,,1,1,,,,
"TV, FILM AND BOOKS",NONE,"ADULT,TEEN",Deutschland,30,Vor welchen Kreaturen hat Indiana Jones besondere Angst?,Ratten,Krokodile,Spinnen,Schlangen,D,(NULL),PQ759,,,1,51637,0,,1,1,,,,
"TV, FILM AND BOOKS",NONE,"ADULT,TEEN",Deutschland,30,Wie heißt der auf dem Bild gezeigte Schauspieler mit echtem Namen?,Matthew McConaughey,Mathew Maynard,Michael McConaughey,Gary McConaughey,A,(NULL),Matthew_Mcauneghy.jpg,,,1,51823,0,,1,1,,,,
"TV, FILM AND BOOKS",NONE,ADULT,Deutschland,30,Welche dieser Schauspielerinnen war von 2002 bis 2004 die Freundin von Heath Ledger?,Demi Moore,Lindsay Lohan,Naomi Watts,Michelle Williams,C,(NULL),Heath_ledger.jpg,,,1,52384,0,,1,1,,,,
"TV, FILM AND BOOKS",NONE,ADULT,Deutschland,30,Welche dieser Schauspielerinnen ist die Mutter von Schauspielerin Isabella Rossellini?,Sophia Loren,Vivien Leigh,Marlene Dietrich,Ingrid Bergmann,D,(NULL),Isabella_Rosellini.jpg,,,1,52392,0,,1,1,,,,
"TV, FILM AND BOOKS",NONE,ADULT,Deutschland,30,"Was half dem Schauspieler Guy Pearce 2001, durch eine schwierige Zeit in seinem Leben zu kommen?",Transzendentale Mediation,Yoga,Buddhismus,Karate,C,(NULL),Guy_Pearce.jpg,,,1,52400,0,,1,1,,,,
"TV, FILM AND BOOKS",NONE,ADULT,Deutschland,30,Worin Kate Bosworth vor dem Beginn ihrer Schauspielkarriere sehr talentiert?,Im Bahnradsport,Im Reiten,Im Eislaufen,Im Tennis,B,(NULL),Kate_Bosworth.jpg,,,1,52416,0,,1,1,,,,
"TV, FILM AND BOOKS",NONE,ADULT,Deutschland,30,Wie war John Waynes richtiger Vorname?,Maple,Mark,Marion,Marty,C,(NULL),John_Wayne.jpg,,,1,52446,0,,1,1,,,,
"TV, FILM AND BOOKS",NONE,ADULT,Deutschland,30,Wer ist Lisa Minellis Mutter?,Bette Davis,Judy Garland,Ingrid Bergmann,Mae West,B,(NULL),Lisa_Minnelli.jpg,,,1,52454,0,,1,1,,,,
"TV, FILM AND BOOKS",NONE,ADULT,Deutschland,30,Wie ist Lady Gagas richtiger Name?,Stefani Ricci,Stefani Rossi,Stefani Germanotta,Stefani Bianchi,C,(NULL),Lady_Gaga.jpg,,,1,52502,0,,1,1,,,,
"TV, FILM AND BOOKS",NONE,ADULT,Deutschland,30,Aus welchem ??Land kommt Shakira?,Kuba,Argentinien,Brasilien,Kolumbien,D,(NULL),Shakira.jpg,,,1,52506,0,,1,1,,,,
"TV, FILM AND BOOKS",NONE,ADULT,Deutschland,30,Wie lautet der zweite Vorname von Jennifer Aniston?,Rachel,Jean,Joanna,Angela,C,(NULL),Jennifer_Aniston.jpg,,,1,52510,0,,1,1,,,,
"TV, FILM AND BOOKS",NONE,ADULT,Deutschland,30,"Wie alt wurden die Schauspieler Kevin Costner, Bruce Willis und Whoopi Goldberg im Jahr 2020?",65,55,60,70,A,(NULL),mgMYU1629915349229.jpg,,,1,52659,0,,1,1,,,,
"TV, FILM AND BOOKS",NONE,ADULT,Deutschland,30,In welchem ??Jahrhundert wurde Gullivers Reisen erstmals veröffentlicht?,17,18,16,19,B,(NULL),,,,0,53826,0,,1,1,,,,
"TV, FILM AND BOOKS",NONE,"TEEN,JUNIOR",Deutschland,30,Wie heißt Coralines freundliche Nachbarin im Film Coraline von 2009?,Whybe?,Wilbert,William,Wallace,A,(NULL),1bgy21619472539883.jpg,,,1,54093,0,,1,1,,,,
"TV, FILM AND BOOKS",NONE,TEEN,Deutschland,30,In welchem ??dieser Romane taucht die Figur Long John Silver auf?,Schatzinsel,Peter Pan,In fremderen Gezeiten,Der Pirat,A,(NULL),WCvSW1619472944798.jpg,,,1,54102,0,,1,1,,,,
"TV, FILM AND BOOKS",NONE,JUNIOR,Deutschland,30,Welche Art von Essen ließen die Bären in "Goldlöckchen" abkühlen?,Haferbrei,Kuchen,Donuts,Vanillepudding,A,(NULL),EOlde1619473199773.jpg,,,1,54106,0,,1,1,,,,
"TV, FILM AND BOOKS",NONE,JUNIOR,Deutschland,30,"Peter, Edmund, Susan und Lucy gehen in einen Kleiderschrank und gelangen in welches magische Land?",Narnia,Avalon,Märchenland,Arendell,A,(NULL),TO7DZ1619473850987.jpg,,,1,54113,0,,1,1,,,,
"TV, FILM AND BOOKS",NONE,JUNIOR,Deutschland,30,Optimus Prime ist welche Art von Transformator?,Ein Robo-Krieger,Ein Decepticon,Ein Junk-Buster,Ein Autobot,D,(NULL),Y6wJ01619474118012.jpg,,,1,54117,0,,1,1,,,,
"TV, FILM AND BOOKS",NONE,JUNIOR,Deutschland,30,Wie heißt der Junge in Roald Dahls Geschichte über einen riesigen Pfirsich?,James,Oliver,Tom,Harry,A,(NULL),qEmsD1619475379803.jpg,,,1,54181,0,,1,1,,,,
"TV, FILM AND BOOKS",NONE,"TEEN,JUNIOR",Deutschland,30,Wer ist Sarabi in Disneys "König der Löwen"?,Simbas ältere Schwester,Simbas Vater,Simbas Mutter,Simbas ältere Cousine,C,(NULL),XJqHM1619475139472.jpg,,,1,54193,0,,1,1,,,,
"TV, FILM AND BOOKS",NONE,"TEEN,JUNIOR",Deutschland,30,Wie heißt der gezeigte Pavian in Disneys "König der Löwen"?,Nala,Mufasa,Rafiki,Zazu,C,(NULL),RCt111619474952306.jpg,,,1,54201,0,,1,1,,,,
"TV, FILM AND BOOKS",NONE,JUNIOR,Deutschland,30,Wie heißt dieses Löwenbaby in Disneys "König der Löwen"?,Simba,Mufasa,Sarda,Scar,A,(NULL),RgdCv1619474692549.jpg,,,1,54209,0,,1,1,,,,
"TV, FILM AND BOOKS",NONE,JUNIOR,Deutschland,30,Aus welchem ??Material wurden Cinderellas Schuhe hergestellt?,Glas,Kristall,Diamant,Gold,A,(NULL),NiD9M1619475731515.jpg,,,1,54213,0,,1,1,,,,
"TV, FILM AND BOOKS",NONE,"JUNIOR,TEEN",Deutschland,30,Wer ist Matildas beste Freundin?,Lavender,Misty,Heather,Dawn,A,(NULL),0dKpX1619475920065.jpg,,,1,54217,0,,1,1,,,,
"TV, FILM AND BOOKS",NONE,TEEN,Deutschland,30,"Aus welchem ??Filmmusical stammt diese Textzeile: ""So tell me, do you wanna go? Where it's covered in all the colored lights...'?",High School Musical,Frozen,Mary Poppins kehrt zurück,The greatest showman,D,(NULL),QC002175.jpg,,,1,54225,0,,1,1,,,,
"TV, FILM AND BOOKS",NONE,TEEN,Deutschland,30,Baker Street ist die Heimat welches ??literarischen Detektivs?,Sherlock Holmes,Hercule Poirot,Jessica Fletcher,Thomas Magnum,A,(NULL),QC001388.jpg,,,1,54229,0,,1,1,,,,
"TV, FILM AND BOOKS",NONE,"JUNIOR,TEEN",Deutschland,30,Welches Tier besiegt die Schildkröte in Äsops Fabel in einem Rennen?,Kaninchen,Schnecke,Hase,Löwe,C,(NULL),QC001387.jpg,,,1,54233,0,,1,1,,,,
"TV, FILM AND BOOKS",NONE,TEEN,Deutschland,30,"Wie heißt das Pferd, aus dessen Sicht der Roman von Anna Sewell erzählt wird?",Pink Beauty,Black Beauty,Red Beauty,Green Beauty,B,(NULL),QC001381.jpg,,,1,54241,0,,1,1,,,,
"TV, FILM AND BOOKS",NONE,JUNIOR,Deutschland,30,"Wie heißt der britische Detektiv, dessen Partner Dr. Watson ist?",Sherlock Holmes,Simon Holmes,Steven Holmes,Sam Holmes,A,(NULL),QC001379.jpg,,,1,54249,0,,1,1,,,,
"TV, FILM AND BOOKS",NONE,JUNIOR,Deutschland,30,Wie heißt der Prinz in "Aschenputtel"?,Prinz Charming,Prinz Lovely,Prinz Kind,Prinz Handsome,A,(NULL),XOw141619476323688.jpg,,,1,54253,0,,1,1,,,,
"TV, FILM AND BOOKS",NONE,JUNIOR,Deutschland,30,Auf welchem ??Märchen basiert Disneys Rapunzel - Neu verföhnt?,Prinzessin auf der Erbse,Rapunzel,Hänsel und Gretel,Dornröschen,B,(NULL),8uRid1619476743124.jpg,,,1,54257,0,,1,1,,,,
"TV, FILM AND BOOKS",NONE,JUNIOR,Deutschland,30,"Was hinterlassen Hänsel und Gretel, um den Weg zurückzufinden?",Murmeln,Stroh,Süßigkeiten,Semmelbrösel,D,(NULL),Hzgae1619476928524.jpg,,,1,54261,0,,1,1,,,,
"TV, FILM AND BOOKS",NONE,JUNIOR,Deutschland,45,"Wie heißt das kleine Mädchen, das in dem Buch und Film von Roald Dahl gerne liest?",Frances,Matilda,Nadia,Milly,B,(NULL),g5Ysz1619477055841.jpg,,,1,54265,0,,1,1,,,,
